168.0	354.0	38.0	42.0	track
169.6	351.6	34.0	47.2	track
169.2	352.2	34.5	46.8	track
169.3	353.7	34.2	46.3	track
170.7	352.7	33.2	48.1	track
170.1	354.1	33.9	46.2	track
169.7	354.7	33.7	46.2	track
169.4	354.9	34.2	46.0	track
170.2	356.1	34.1	46.4	track
169.9	355.9	34.7	46.6	track
170.3	355.3	33.7	47.3	track
170.3	356.5	33.6	46.5	track
170.0	356.7	33.7	46.4	track
171.2	356.9	33.0	47.2	track
171.0	356.7	32.8	47.3	track
170.2	357.6	34.0	46.1	track
170.1	356.9	33.7	47.0	track
170.0	357.6	33.8	46.7	track
170.2	356.7	33.7	47.7	track
169.3	357.7	34.2	46.5	track
171.1	356.1	32.5	48.9	track
169.9	356.9	34.4	47.0	track
169.1	358.0	34.5	46.2	track
170.4	357.5	32.8	47.2	track
169.3	358.4	34.0	45.6	track
170.0	358.1	33.6	46.6	track
169.9	357.7	33.9	46.7	track
168.9	359.2	34.2	45.1	track
169.7	357.6	33.1	47.0	track
169.4	359.0	33.7	45.6	track
169.0	358.7	33.8	46.1	track
169.0	358.1	33.8	46.6	track
169.3	358.2	33.5	46.4	track
168.9	360.0	33.6	45.1	track
168.9	357.8	33.7	46.9	track
168.6	358.9	33.0	46.3	track
168.5	358.8	33.2	46.3	track
168.6	358.6	33.1	46.4	track
168.4	358.7	33.2	46.3	track
168.2	358.7	33.4	46.3	track
168.4	357.7	33.6	47.0	track
168.5	358.6	33.6	46.3	track
169.0	357.4	33.2	47.2	track
168.6	358.6	33.2	46.6	track
168.8	357.4	33.6	47.1	track
168.5	357.7	33.4	46.8	track
168.7	356.5	33.4	47.8	track
168.0	358.4	34.2	46.3	track
168.7	356.4	34.4	47.6	track
167.5	358.2	34.5	45.9	track
168.3	356.9	34.1	47.3	track
168.3	356.9	33.6	47.4	track
168.3	356.0	34.7	47.2	track
167.8	356.3	34.0	47.4	track
168.0	357.1	34.2	47.2	track
167.9	355.9	34.0	48.0	track
168.1	355.5	34.5	47.9	track
168.4	355.3	33.6	48.4	track
168.3	355.8	34.2	47.7	track
169.1	354.2	34.3	48.6	track
168.3	355.6	34.0	47.4	track
168.6	354.0	33.7	48.3	track
168.9	353.8	34.0	48.1	track
168.4	353.9	34.0	47.5	track
168.3	353.5	34.2	47.6	track
168.8	353.1	35.0	48.1	track
167.9	352.6	34.8	47.8	track
167.8	351.6	35.3	48.3	track
168.3	351.6	35.2	48.7	track
167.6	352.0	34.9	48.3	track
167.7	351.0	35.3	48.6	track
168.4	352.1	35.2	48.6	track
168.4	350.7	35.2	49.3	track
168.9	349.6	35.6	49.5	track
167.1	351.8	35.5	47.2	track
169.1	349.6	34.8	50.1	track
169.4	348.7	35.7	49.9	track
167.7	351.1	35.7	47.3	track
169.7	348.3	35.3	50.4	track
168.0	349.4	35.6	48.4	track
169.2	347.4	35.4	50.5	track
168.1	348.3	35.7	49.7	track
170.5	346.9	35.1	50.7	track
167.2	346.7	35.0	50.4	track
169.0	346.8	35.6	51.0	track
169.0	346.6	36.9	50.7	track
167.4	348.1	37.2	49.5	track
168.6	346.2	38.2	50.8	track
167.6	346.8	37.3	50.0	track
167.8	346.9	38.9	50.0	track
167.5	346.6	38.2	50.5	track
167.7	345.2	38.8	51.0	track
167.5	344.9	37.6	50.7	track
166.7	345.3	39.9	48.5	track
166.2	347.4	41.4	46.2	track
167.7	345.3	40.4	48.4	track
165.7	346.5	42.5	45.8	track
166.3	345.0	42.1	47.2	track
164.8	345.4	42.7	46.3	track
165.0	345.2	42.5	47.4	track
165.5	345.0	46.1	46.6	track
164.1	346.2	46.5	45.8	track
165.4	344.1	46.8	48.1	track
164.8	345.7	47.5	47.0	track
165.5	346.4	49.0	45.5	track
166.7	344.1	47.8	47.2	track
165.5	345.6	51.0	45.6	track
166.4	344.5	50.5	46.2	track
166.4	342.9	44.7	45.7	track
161.9	343.9	48.6	45.0	track
161.6	343.7	43.4	45.5	track
163.8	342.1	43.3	47.2	track
161.7	343.2	44.3	45.2	track
162.6	341.8	44.3	46.6	track
161.5	342.4	44.6	45.1	track
162.3	341.5	43.8	46.1	track
163.2	340.2	43.1	47.0	track
162.9	341.9	43.7	44.6	track
164.5	338.2	39.5	49.1	track
163.1	339.8	40.2	47.2	track
163.9	337.8	39.5	49.1	track
164.0	338.2	39.2	48.4	track
163.9	337.8	39.2	48.5	track
163.8	337.3	39.2	48.5	track
162.7	338.1	40.0	48.0	track
162.7	337.4	40.1	48.9	track
162.6	336.7	40.5	49.1	track
163.7	336.2	39.4	50.2	track
163.5	336.7	40.0	49.1	track
163.8	336.2	39.9	49.5	track
162.9	335.5	39.9	49.6	track
163.1	336.3	39.4	48.8	track
163.7	334.1	39.6	50.5	track
162.6	335.5	40.0	48.6	track
163.3	334.8	39.2	50.1	track
162.8	334.5	39.9	49.8	track
163.1	334.0	39.6	50.4	track
163.1	333.7	39.9	50.3	track
162.7	334.4	39.7	49.8	track
163.5	333.8	40.1	50.8	track
162.8	333.1	40.3	50.7	track
162.9	334.8	40.1	49.1	track
162.6	333.4	39.9	50.9	track
161.9	333.5	40.0	50.6	track
158.1	333.7	42.8	49.6	track
154.2	333.8	42.0	49.2	track
148.0	332.8	42.8	49.8	track
143.3	333.5	40.2	49.5	track
206.0	293.0	38.0	42.0	redetect
194.8	292.5	40.8	39.1	track
184.4	291.1	42.2	39.8	track
175.5	289.1	42.1	40.5	track
165.3	287.6	43.1	40.4	track
157.6	285.7	44.9	39.1	track
152.6	284.4	43.4	38.8	track
151.5	283.0	42.2	36.9	track
154.0	280.7	36.8	40.2	track
154.6	279.5	37.3	41.1	track
156.3	277.5	35.1	40.2	track
156.3	276.9	34.6	43.4	track
159.0	274.9	31.9	41.9	track
158.6	277.3	33.3	38.6	track
160.5	274.2	30.7	39.2	track
162.7	275.6	31.0	30.9	track
163.9	275.1	27.7	28.4	track
162.0	263.0	38.0	42.0	redetect
161.4	264.5	40.2	37.4	track
162.9	264.4	39.5	38.4	track
162.9	263.4	39.8	37.6	track
163.3	263.2	39.7	39.2	track
163.0	262.3	39.8	39.1	track
162.4	261.7	39.6	41.2	track
162.4	261.2	38.3	39.6	track
163.2	260.9	36.1	42.0	track
116.0	319.0	38.0	42.0	redetect
116.6	317.4	36.7	43.3	track
116.0	317.7	37.0	42.6	track
115.5	318.6	37.0	41.7	track
115.9	318.0	36.0	42.8	track
115.3	317.6	36.1	43.3	track
115.8	317.1	35.7	43.2	track
115.0	317.2	36.3	42.8	track
115.7	317.1	35.9	42.7	track
115.8	317.1	35.5	43.5	track
114.7	317.6	36.5	42.6	track
115.0	317.4	35.9	42.9	track
114.0	318.5	36.2	42.9	track
112.7	318.6	35.8	43.4	track
109.0	321.6	34.8	40.4	track
102.8	322.0	36.0	40.1	track
93.3	323.7	37.7	41.6	track
85.0	326.8	38.9	39.7	track
77.6	328.6	38.0	40.4	track
69.0	332.3	39.5	39.4	track
60.3	334.7	38.5	41.1	track
52.3	337.5	39.5	41.6	track
46.8	337.5	38.1	40.9	track
43.9	342.7	37.4	40.6	track
42.0	342.8	37.5	42.5	track
42.8	343.5	38.0	41.7	track
41.3	342.4	39.1	43.2	track
43.0	343.0	38.3	41.7	track
41.4	341.9	39.1	43.7	track
41.8	342.1	38.2	42.4	track
43.0	341.3	37.1	43.7	track
41.2	341.5	38.5	43.0	track
42.1	342.9	37.8	41.9	track
42.3	342.5	38.4	42.1	track
41.6	341.7	38.4	43.0	track
43.2	341.9	37.3	42.3	track
42.1	341.3	38.3	43.3	track
40.2	342.5	38.6	43.3	track
42.8	341.3	37.1	45.1	track
40.8	343.5	38.4	42.5	track
41.0	344.7	38.6	42.4	track
40.5	345.8	39.1	42.5	track
40.3	347.9	39.1	41.3	track
41.6	348.0	37.5	43.6	track
40.7	349.3	38.6	42.2	track
40.1	352.1	38.1	41.4	track
40.9	352.4	36.8	44.6	track
40.2	354.6	37.9	42.8	track
41.3	356.1	37.3	43.4	track
41.1	358.3	37.1	43.5	track
41.1	358.9	37.2	43.7	track
39.0	363.0	38.9	41.1	track
40.6	364.1	37.2	43.6	track
40.5	366.5	37.2	43.2	track
39.7	368.1	37.4	44.1	track
39.3	371.8	38.7	42.0	track
38.7	374.5	38.8	41.8	track
39.9	377.8	38.1	41.7	track
40.0	378.6	37.4	44.3	track
39.0	383.2	38.8	41.3	track
39.2	385.8	38.2	41.8	track
40.3	387.7	37.9	43.3	track
38.5	391.7	38.8	41.5	track
40.3	393.6	37.3	43.3	track
39.3	397.3	38.7	41.7	track
39.2	400.2	38.4	41.9	track
39.0	403.7	38.5	41.6	track
