172.00	358.00	22.00	28.00
174.00	355.18	17.90	34.06
174.57	355.48	17.98	33.67
174.57	356.00	17.35	35.14
174.51	356.65	17.11	35.00
174.74	357.52	17.55	33.66
174.61	357.73	16.93	35.60
174.43	357.96	17.34	34.71
174.40	357.99	17.37	34.42
174.63	358.84	17.57	34.47
174.62	358.42	17.45	34.22
175.05	358.67	17.49	33.10
175.13	359.21	17.55	34.10
175.16	359.88	16.83	34.24
174.83	358.99	17.63	34.15
175.14	359.45	17.13	33.79
174.90	359.84	17.45	33.61
174.77	360.14	17.48	33.79
174.65	360.12	16.81	34.24
174.20	360.50	17.89	33.54
174.55	360.44	17.47	33.46
173.98	359.97	17.56	33.75
174.08	360.29	17.43	33.71
174.10	360.52	17.63	32.91
174.54	361.48	17.69	34.18
174.03	360.54	17.38	34.88
174.25	361.71	17.43	33.15
173.88	361.03	17.73	33.27
173.51	360.80	17.18	33.67
173.38	361.54	17.41	33.82
173.74	361.72	17.07	33.20
172.98	361.73	18.24	33.00
173.05	360.98	17.33	33.89
173.55	362.23	17.92	33.32
172.58	361.11	17.70	34.19
173.17	360.81	17.10	33.75
173.37	361.41	17.40	34.19
172.99	360.49	17.44	34.71
173.43	361.88	17.33	33.87
172.30	361.26	17.51	34.25
172.68	361.77	17.60	32.85
172.05	360.92	17.87	33.53
172.31	360.89	17.94	33.02
172.93	361.69	17.93	33.67
172.49	360.76	18.49	33.89
173.02	361.51	18.00	33.21
172.58	360.56	18.38	33.73
172.92	361.45	17.98	33.44
172.76	359.61	18.45	34.70
173.18	360.56	18.14	33.78
173.33	360.72	18.03	33.68
172.73	359.58	18.50	34.56
172.95	359.48	18.52	34.16
172.81	359.61	18.54	34.01
172.42	359.41	18.86	34.09
173.23	359.52	18.04	34.21
172.85	358.32	18.83	34.53
173.26	358.80	18.22	34.50
172.46	357.94	19.13	34.23
172.44	357.56	18.77	34.56
172.68	357.36	18.53	34.79
172.85	357.17	18.41	34.61
172.39	357.18	18.45	34.93
172.27	356.58	18.74	34.78
173.12	356.96	18.17	36.36
172.12	355.99	19.70	35.44
172.69	355.36	19.74	35.73
172.37	355.49	20.11	34.93
172.80	356.13	19.86	36.20
171.72	355.14	21.14	35.63
173.19	354.47	19.95	37.49
172.61	354.24	21.12	37.94
173.02	353.35	20.82	39.12
172.34	353.30	21.66	38.25
172.98	353.19	21.29	39.93
173.20	352.50	21.86	39.22
173.23	352.42	22.49	40.78
173.16	354.03	24.45	38.99
173.64	353.09	23.79	39.91
172.04	352.88	24.00	40.75
172.28	352.75	25.48	39.23
172.49	352.79	25.71	39.98
172.85	352.73	26.50	39.00
172.94	350.88	25.97	39.76
173.34	350.12	26.40	42.68
173.61	351.04	27.22	40.78
173.74	351.76	28.57	41.98
173.93	352.48	28.52	41.04
169.09	350.44	26.20	36.83
170.10	348.10	26.26	39.11
171.01	347.74	26.65	41.19
171.00	348.90	27.24	41.78
170.82	347.55	27.96	42.62
171.72	348.55	28.33	41.23
170.63	347.57	28.37	35.23
171.24	346.82	26.67	36.16
171.04	347.68	24.62	34.77
171.11	346.67	25.84	34.79
170.41	345.42	22.45	34.78
170.46	346.05	22.36	33.62
170.49	345.80	21.57	34.40
170.30	346.08	20.77	34.93
169.79	344.34	19.22	37.06
169.45	345.01	19.99	34.05
168.85	343.85	20.85	35.14
168.95	344.40	20.40	34.03
169.34	344.44	20.02	33.20
169.35	343.72	19.85	34.04
168.95	343.35	20.07	34.00
169.01	342.99	20.60	33.46
169.74	342.80	19.36	34.38
169.33	342.75	19.57	34.45
168.93	342.63	19.63	34.64
169.03	342.75	19.66	34.06
168.36	342.11	20.05	35.08
168.23	342.03	20.02	33.75
168.61	341.75	20.01	34.18
169.10	341.77	19.85	33.70
168.56	340.51	20.17	35.29
168.43	340.61	20.92	33.66
169.27	340.92	19.82	32.54
169.80	340.42	19.47	34.79
169.12	340.52	20.17	34.49
168.77	339.79	20.54	34.86
